Problem,Dataset,dlv,clingo bnb,aspirena,mingo,maxmodels,ezsmt,acyc2solver_mip_fvs,acyc2solver_mip_ve,clingo usc,acyc2solver_mip_ve_smodels_gurobi,acyc2solver_mip_fvs_smodels_gurobi
knight-tour-with-holes,p3,7.69,1.56,35.49,230.57,3.4,79.0,42.98,43.14,0.27,9.73,9.72
knight-tour-with-holes,p4,6.62,1.64,41.43,231.26,3.09,75.9,40.26,40.26,0.27,8.77,8.77
knight-tour-with-holes,p5,6.22,1.55,36.49,223.73,3.45,79.96,47.18,47.17,0.27,9.65,9.68
knight-tour-with-holes,p6,10.09,2.52,35.82,600.02,3.28,77.78,42.02,42.44,0.27,9.24,9.27
knight-tour-with-holes,p7,6.33,2.05,50.24,331.5,3.28,76.01,42.32,42.27,0.27,9.19,9.22
knight-tour-with-holes,p8,6.48,1.7,35.28,250.5,3.29,76.93,39.95,39.98,0.27,8.89,8.92
knight-tour-with-holes,p9,5.15,1.39,35.51,238.35,3.14,78.22,42.71,43.38,0.27,8.96,8.97
knight-tour-with-holes,p10,5.72,1.03,27.92,240.84,3.23,79.51,44.02,44.06,0.27,9.47,9.46
longest-circuit,p1,600.02,330.27,0.34,2.49,0.62,600.0,0.52,0.52,600.0,0.47,0.52
longest-circuit,p2,600.01,168.68,0.46,2.66,1.33,600.0,0.62,0.62,600.02,0.52,0.57
longest-circuit,p3,600.01,600.01,0.59,2.65,1.83,600.0,0.57,0.62,600.0,0.57,0.57
longest-circuit,p4,600.02,600.02,0.54,4.21,0.82,600.0,0.57,0.57,600.0,0.52,0.52
longest-circuit,p5,600.01,600.02,1.83,3.81,2.32,600.0,0.72,0.67,600.0,0.77,0.67
longest-circuit,p6,600.01,600.02,0.81,3.71,15.36,600.0,0.72,0.57,600.0,0.62,0.57
longest-circuit,p7,600.03,600.03,0.8,4.32,6.78,600.0,0.67,0.72,600.0,0.62,0.57
longest-circuit,p8,600.01,600.02,1.67,3.61,14.55,600.0,0.82,0.77,600.0,0.77,0.67
longest-circuit,p9,600.02,301.3,0.55,3.57,4.18,600.0,0.67,0.72,600.0,0.57,0.57
longest-circuit,p10,600.02,600.02,0.8,3.07,3.42,600.0,0.82,0.77,600.0,0.62,0.57
longest-path,p1,600.03,561.84,0.38,2.3,0.77,600.0,0.62,0.57,17.01,0.47,0.47
longest-path,p2,600.02,287.65,0.35,1.37,1.27,600.0,0.47,0.47,600.0,0.47,0.47
longest-path,p3,180.15,381.82,0.32,0.43,1.38,600.0,0.47,0.47,18.97,0.47,0.47
longest-path,p4,600.03,600.01,0.45,3.46,1.52,600.0,0.53,0.57,176.56,0.57,0.52
longest-path,p5,600.02,369.0,0.39,1.92,0.87,600.0,0.47,0.47,600.0,0.47,0.47
longest-path,p6,600.04,309.15,0.5,3.51,1.08,600.0,0.67,0.67,368.74,0.52,0.52
longest-path,p7,103.68,311.18,0.56,3.21,1.58,600.0,0.83,0.57,87.79,0.52,0.52
longest-path,p8,600.02,361.2,0.31,5.08,1.18,600.0,0.62,0.47,600.0,0.47,0.47
longest-path,p9,600.02,242.36,0.39,4.48,0.97,600.0,0.63,0.67,17.7,0.47,0.47
longest-path,p10,600.03,501.62,0.25,1.97,2.09,600.0,0.47,0.47,241.82,0.47,0.47
maximal-clique,p1,69.92,600.02,3.72,6.47,2.02,600.0,1.22,1.22,2.44,1.14,1.13
maximal-clique,p2,62.38,600.01,2.86,4.76,0.87,600.0,0.83,0.83,1.72,0.87,0.88
maximal-clique,p3,121.3,600.03,3.7,6.32,1.83,600.0,1.03,1.1,1.93,1.08,1.13
maximal-clique,p4,600.02,600.01,4.82,7.12,2.12,600.0,1.29,1.28,5.08,1.18,1.18
maximal-clique,p5,107.62,600.02,3.26,5.05,2.32,600.0,0.93,0.89,1.87,1.02,1.03
maximal-clique,p6,327.71,600.02,3.86,5.31,2.28,600.0,1.0,0.89,10.74,1.14,1.14
maximal-clique,p7,298.79,600.01,3.15,5.46,2.38,600.0,0.93,0.89,3.34,1.03,1.03
maximal-clique,p8,234.23,600.03,4.93,8.28,2.34,600.0,1.53,1.53,6.22,1.13,1.13
maximal-clique,p9,120.02,600.02,3.96,6.41,2.57,600.0,1.18,1.14,2.98,1.18,1.18
maximal-clique,p10,164.15,600.01,3.76,7.13,2.58,600.0,1.04,1.08,3.3,1.13,1.18
maximum-leaf-spanning-tree,p1,14.35,60.19,1.27,4.84,16.58,600.0,7.87,10.59,22.56,1.77,0.72
maximum-leaf-spanning-tree,p2,187.59,82.49,0.52,3.9,28.46,600.0,6.66,13.13,60.77,0.87,0.72
maximum-leaf-spanning-tree,p3,408.93,380.94,0.62,6.5,41.48,600.0,13.63,11.53,7.98,1.52,1.17
maximum-leaf-spanning-tree,p4,392.81,490.59,1.69,15.86,71.22,600.0,10.38,16.79,533.44,0.97,0.77
maximum-leaf-spanning-tree,p5,600.0,600.01,0.89,13.15,75.59,600.0,14.75,18.78,191.09,1.62,0.82
maximum-leaf-spanning-tree,p6,23.68,19.41,3.87,21.56,3.17,600.0,13.8,15.2,1.87,2.57,2.48
maximum-leaf-spanning-tree,p7,148.6,130.5,7.86,13.54,4.48,600.0,19.52,25.81,176.72,4.53,3.23
maximum-leaf-spanning-tree,p8,600.01,516.33,4.78,31.48,4.58,600.0,19.24,43.3,83.96,3.73,2.68
maximum-leaf-spanning-tree,p9,475.43,246.82,24.36,68.17,13.25,600.0,69.57,204.25,600.01,10.49,6.58
maximum-leaf-spanning-tree,p10,600.0,272.38,8.94,14.32,8.18,600.0,41.87,143.62,600.0,4.73,4.89
minimum-cover,p1,1.29,551.0,0.75,2.11,1.07,600.0,0.32,0.32,0.17,0.12,0.12
minimum-cover,p2,5.66,556.84,1.35,3.35,2.22,600.01,0.67,0.52,0.72,0.22,0.22
minimum-cover,p3,0.14,47.79,1.14,2.61,1.42,616.32,0.52,0.47,0.17,0.17,0.17
minimum-cover,p4,0.94,258.04,0.8,5.07,1.27,600.01,0.88,0.97,0.17,0.12,0.12
minimum-cover,p5,0.24,83.51,0.5,2.76,1.17,600.0,0.32,0.32,0.07,0.12,0.12
minimum-cover,p6,1.05,346.81,1.82,2.16,0.97,600.0,0.32,0.32,0.22,0.17,0.17
minimum-cover,p7,17.06,600.02,1.51,3.0,1.67,600.01,0.37,0.42,0.77,0.17,0.17
minimum-cover,p8,0.44,600.02,0.82,4.57,0.87,600.01,0.47,0.57,0.07,0.17,0.17
minimum-cover,p9,8.43,600.02,0.95,3.71,0.97,613.91,0.62,0.57,0.42,0.17,0.17
minimum-cover,p10,8.28,600.02,1.7,3.47,1.52,600.0,0.27,0.32,0.67,0.22,0.22
set-packing,p1,0.03,114.97,0.14,1.41,0.57,600.0,0.22,0.27,0.02,0.12,0.12
set-packing,p2,0.02,262.44,0.08,0.39,0.52,600.01,0.12,0.07,0.01,0.12,0.12
set-packing,p3,0.02,600.02,0.14,0.43,0.52,600.0,0.12,0.07,0.02,0.12,0.12
set-packing,p4,0.04,600.02,0.15,2.01,0.52,600.0,0.07,0.07,0.02,0.12,0.12
set-packing,p5,0.03,138.4,0.09,0.49,0.77,600.01,0.12,0.07,0.02,0.12,0.12
set-packing,p6,0.03,600.02,0.14,0.59,0.07,600.01,0.12,0.07,0.02,0.12,0.12
set-packing,p7,0.03,600.02,0.1,0.49,0.67,600.01,0.12,0.07,0.03,0.12,0.12
