Problem,Dataset,dlv,clingo,aspirena,mingo
connected-maximum-density-still-life,p1,0.02,0.02,0.07,0.17
connected-maximum-density-still-life,p2,0.03,0.03,0.12,0.22
connected-maximum-density-still-life,p3,0.03,0.03,0.22,0.22
connected-maximum-density-still-life,p4,0.07,0.03,0.32,0.22
connected-maximum-density-still-life,p5,0.07,0.03,0.42,0.27
connected-maximum-density-still-life,p6,0.07,0.07,0.62,0.32
connected-maximum-density-still-life,p7,0.12,0.07,0.82,0.42
connected-maximum-density-still-life,p8,0.12,0.12,1.07,0.42
connected-maximum-density-still-life,p9,0.17,0.12,1.32,0.52
connected-maximum-density-still-life,p10,0.17,0.12,1.62,0.62
degree-bounded-connected-subgraph,p1,58.01,600.0,0.47,0.27
degree-bounded-connected-subgraph,p2,10.81,600.0,0.67,0.22
degree-bounded-connected-subgraph,p3,600.0,600.0,0.37,0.27
degree-bounded-connected-subgraph,p4,57.03,600.0,0.47,0.42
degree-bounded-connected-subgraph,p5,3.42,600.0,0.82,0.17
degree-bounded-connected-subgraph,p6,17.85,600.0,1.07,0.32
degree-bounded-connected-subgraph,p7,11.69,600.0,0.72,0.27
degree-bounded-connected-subgraph,p8,600.0,600.0,1.32,0.27
degree-bounded-connected-subgraph,p9,75.92,600.0,1.37,0.17
degree-bounded-connected-subgraph,p10,600.0,600.0,2.78,0.22
dominating-set,p1,0.12,600.0,1.34,2.33
dominating-set,p2,0.02,600.0,0.47,1.32
dominating-set,p3,0.01,600.0,0.77,1.68
dominating-set,p4,0.02,600.0,0.37,1.68
dominating-set,p5,0.13,600.01,1.39,5.4
dominating-set,p6,0.04,600.01,0.88,1.49
dominating-set,p7,0.02,600.02,0.18,1.49
dominating-set,p8,0.02,600.01,0.23,1.59
dominating-set,p9,1.63,41.37,5.47,5.15
dominating-set,p10,1.89,35.76,3.73,5.96
fault-detection-in-directed-graphs,p1,0.17,600.01,0.48,0.48
fault-detection-in-directed-graphs,p2,600.01,600.01,0.58,0.58
fault-detection-in-directed-graphs,p3,600.01,600.01,0.74,0.58
fault-detection-in-directed-graphs,p4,227.32,600.01,0.48,0.48
fault-detection-in-directed-graphs,p5,0.07,351.84,0.59,0.52
fault-detection-in-directed-graphs,p6,600.01,600.01,0.83,0.53
fault-detection-in-directed-graphs,p7,600.01,600.01,1.24,0.68
fault-detection-in-directed-graphs,p8,600.01,600.01,0.94,0.53
fault-detection-in-directed-graphs,p9,600.02,600.02,0.38,0.53
fault-detection-in-directed-graphs,p10,1.29,600.01,0.79,0.73
longest-circuit,p1,600.02,330.27,0.34,2.49
longest-circuit,p2,600.01,168.68,0.46,2.66
longest-circuit,p3,600.01,600.01,0.59,2.65
longest-circuit,p4,600.02,600.02,0.54,4.21
longest-circuit,p5,600.01,600.02,1.83,3.81
longest-circuit,p6,600.01,600.02,0.81,3.71
longest-circuit,p7,600.03,600.03,0.8,4.32
longest-circuit,p8,600.01,600.02,1.67,3.61
longest-circuit,p9,600.02,301.3,0.55,3.57
longest-circuit,p10,600.02,600.02,0.8,3.07
maximal-clique,p1,69.92,600.02,3.72,6.47
maximal-clique,p2,62.38,600.01,2.86,4.76
maximal-clique,p3,121.3,600.03,3.7,6.32
maximal-clique,p4,600.02,600.01,4.82,7.12
maximal-clique,p5,107.62,600.02,3.26,5.05
maximal-clique,p6,327.71,600.02,3.86,5.31
maximal-clique,p7,298.79,600.01,3.15,5.46
maximal-clique,p8,234.23,600.03,4.93,8.28
maximal-clique,p9,120.02,600.02,3.96,6.41
maximal-clique,p10,164.15,600.01,3.76,7.13
minimum-cover,p1,1.29,551.0,0.75,2.11
minimum-cover,p2,5.66,556.84,1.35,3.35
minimum-cover,p3,0.14,47.79,1.14,2.61
minimum-cover,p4,0.94,258.04,0.8,5.07
minimum-cover,p5,0.24,83.51,0.5,2.76
minimum-cover,p6,1.05,346.81,1.82,2.16
minimum-cover,p7,17.06,600.02,1.51,3.0
minimum-cover,p8,0.44,600.02,0.82,4.57
minimum-cover,p9,8.43,600.02,0.95,3.71
minimum-cover,p10,8.28,600.02,1.7,3.47
set-packing,p1,0.03,114.97,0.14,1.41
set-packing,p2,0.02,262.44,0.08,0.39
set-packing,p3,0.02,600.02,0.14,0.43
set-packing,p4,0.04,600.02,0.15,2.01
set-packing,p5,0.03,138.4,0.09,0.49
set-packing,p6,0.03,600.02,0.14,0.59
set-packing,p7,0.03,600.02,0.1,0.49
set-packing,p8,0.44,237.46,0.2,2.15
set-packing,p9,0.13,105.1,0.09,0.43
set-packing,p10,0.03,279.55,0.09,0.54
solitaire,p1,0.34,0.19,4.02,0.85
solitaire,p2,0.23,0.13,2.56,0.75
solitaire,p3,600.03,600.02,365.97,600.01
solitaire,p4,0.41,0.3,6.66,1.56
solitaire,p5,0.35,0.23,3.79,1.25
solitaire,p6,600.03,600.04,315.41,600.03
solitaire,p7,0.51,0.35,6.85,1.65
solitaire,p8,0.39,0.24,4.85,1.04
solitaire,p9,600.04,600.04,600.31,600.03
solitaire,p10,0.61,0.37,7.68,1.93
